ID,Type,Cotton,Organic_cotton,Linen,Hemp,Jute,Other_plant,Silk,Wool,Leather,Camel,Cashmere,Alpaca,Feathers,Other_animal,Polyester,Nylon,Acrylic,Spandex,Elastane,Polyamide,Other_synthetic,Lyocell,Viscose,Acetate,Modal,Rayon,Other_regenerated,Other,Recycled_content,Reused_content,Material_label,Chemicals_label,Production_label,Manufacturing_location,Transporation_distance,Use_location,Washing_instruction,Drying_instruction,Reusability_label,Recylability_label,EI
53,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2666,Switzerland,Machine wash_ cold,Line dry,1,1,1
54,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,3993,Greece,Machine wash_ cold,Line dry,1,1,1
55,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,9448,USA,Machine wash_ cold,Line dry,1,1,1
56,short,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2072,Netherlands,Machine wash_ cold,Line dry,1,1,1
57,short,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2389,Germany,Machine wash_ cold,Line dry,1,1,1
58,short,"0,69","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,31","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",1,0,1,Africa,2262,Belgium,Machine wash_ cold,Line dry,1,1,1
59,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2728,France,Machine wash_ cold,Line dry,1,1,1
60,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2887,Austria,Machine wash_ cold,Line dry,1,1,1
61,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2495,Denmark,Machine wash_ cold,Line dry,1,1,1
62,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2300,Luxembourg,Machine wash_ cold,Line dry,1,1,1
63,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2720,UK,Machine wash_ cold,Line dry,1,1,1
64,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2666,Switzerland,Machine wash_ cold,Line dry,1,1,1
65,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,3993,Greece,Machine wash_ cold,Line dry,1,1,1
66,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,9448,USA,Machine wash_ cold,Line dry,1,1,1
67,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2072,Netherlands,Machine wash_ cold,Line dry,1,1,1
68,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2389,Germany,Machine wash_ cold,Line dry,1,1,1
69,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2262,Belgium,Machine wash_ cold,Line dry,1,1,1
70,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2728,France,Machine wash_ cold,Line dry,1,1,1
71,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2887,Austria,Machine wash_ cold,Line dry,1,1,1
72,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2495,Denmark,Machine wash_ cold,Line dry,1,1,1
73,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2300,Luxembourg,Machine wash_ cold,Line dry,1,1,1
74,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2720,UK,Machine wash_ cold,Line dry,1,1,1
