Type,Cotton,Organic_cotton,Other_plant,Wool,Other_animal,Polyester,Nylon,Spandex,Polyamide,Other_synthetic,Lyocell,Viscose,Rayon,Other_regenerated,Other,Recycled_content,Reused_content,Material_label,Chemicals_label,Production_label,Manufacturing_location,Transporation_distance,Use_location,Washing_instruction,Drying_instruction,Reusability_label,Recylability_label,EI
jacket,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.65,0.0,1,1,1,Europe,8146.0,USA,Machine wash_ hot,Tumble dry_ medium,0,0,1
trousers,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0,1,1,Europe,1030.0,Sweden,Machine wash_ hot,Tumble dry_ low,0,0,2
trousers,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,1528.0,Norway,Machine wash_ hot,Tumble dry_ medium,0,0,4
jacket,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0,1,1,Europe,1576.0,Finland,Machine wash_ hot,Tumble dry_ low,0,0,2
jacket,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,2060.0,Latvia,Machine wash_ hot,Tumble dry_ low,0,0,3
t-shirt,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,Europe,2102.0,Denmark,Machine wash_ warm,Tumble dry_ low,0,0,2
t-shirt,0.55,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,2354.0,Poland,Machine wash_ hot,Tumble dry_ low,0,0,3
jacket,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,Europe,2634.0,UK,Machine wash_ warm,Tumble dry_ low,0,0,2
sweater,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,8146.0,USA,Machine wash_ hot,Tumble dry_ low,0,0,3
t-shirt,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,1030.0,Sweden,Machine wash_ hot,Tumble dry_ low,0,0,2
